"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jerry Jeudy","CLE","WR59","0.5","2.0","0.0","56.0","752.8","2.9","0.7","147.2"
"Jordan Mason","MIN","RB40","192.8","878.7","6.1","14.5","75.8","0.1","1.1","145.2"
"Tre Tucker","LV","WR60","11.2","54.6","0.2","50.2","631.6","3.8","0.1","142.1"
"Keenan Allen","IND","WR61","0.0","0.0","0.0","58.6","607.2","3.8","0.3","141.7"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","63.9","574.5","3.3","0.2","140.6"
"Blake Corum","LAR","RB41","167.6","801.5","6.4","11.9","80.4","0.2","0.7","138.6"
"Tyjae Spears","TEN","RB42","94.8","379.6","3.0","45.8","306.1","1.2","0.7","138.1"
"Rashod Bateman","BAL","WR62","0.0","0.0","0.0","38.8","598.6","6.0","0.2","134.3"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","560.0","4.3","0.2","134.1"
"Jauan Jennings","MIN","WR63","0.0","0.0","0.0","48.7","557.7","5.2","0.7","134.1"
"Jalen McMillan","TB","WR64","4.7","26.8","0.1","46.6","607.3","3.9","0.2","133.8"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.0","3.2","1.2","133.5"
"Cade Otton","TB","TE23","0.0","0.0","0.0","54.8","557.4","3.1","0.1","128.9"
"Jalen Nailor","LV","WR65","2.0","9.0","0.0","43.7","587.7","4.0","0.2","127.2"
"Chig Okonkwo","WAS","TE24","0.0","0.0","0.0","52.8","569.5","2.8","0.1","126.2"
"Devaughn Vele","NO","WR66","0.0","0.0","0.0","47.3","567.7","3.7","0.2","125.8"
"Ja'Kobi Lane","BAL","WR67","1.5","8.5","0.0","37.8","569.3","5.2","0.7","125.7"
"Kenyon Sadiq","NYJ","TE25","0.0","0.0","0.0","49.0","537.6","4.0","0.7","125.3"
"Cooper Kupp","SEA","WR68","0.5","1.5","0.0","47.4","584.8","3.4","0.7","125.2"
"AJ Barner","SEA","TE26","0.0","0.0","0.0","48.6","469.9","4.9","0.2","124.4"
"Isiah Pacheco","DET","RB43","148.2","628.7","3.8","21.6","135.1","0.9","0.8","124.4"
"Woody Marks","HOU","RB44","142.7","555.8","2.7","24.1","197.0","1.8","0.8","124.3"
