"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Mack Hollins","NE","21.5","257.6","1.6","0.0","0.0","0.0","0.2","56.5"
"Tutu Atwell","LAR","21.1","301.4","0.5","2.2","11.4","0.1","0.2","55.2"
"Demarcus Robinson","SF","17.6","251.5","1.7","0.5","2.5","0.0","0.0","52.9"
"Cyrus Allen","KC","19.4","245.8","1.6","0.0","0.0","0.0","0.2","52.9"
"Kyle Williams","NE","16.0","232.3","1.4","4.1","22.4","0.2","0.2","50.6"
"Kendrick Bourne","ARI","22.8","239.2","0.7","0.0","0.0","0.0","0.2","50.2"
"Luke McCaffrey","WAS","14.4","221.1","2.3","0.0","0.0","0.0","0.0","49.9"
"Dyami Brown","WAS","15.9","216.9","1.6","0.0","0.0","0.0","0.2","46.7"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","46.4"
"Treylon Burks","WAS","15.0","217.8","1.4","0.0","0.0","0.0","0.1","44.7"
"Devontez Walker","BAL","14.5","208.8","1.5","0.0","0.0","0.0","0.2","43.8"
"Colbie Young","CIN","14.1","176.3","1.3","0.0","0.0","0.0","0.1","39.5"
"Bryce Lance","NO","15.1","193.2","0.9","0.0","0.0","0.0","0.2","39.5"
"Jaylin Lane","WAS","12.4","159.5","1.1","0.0","0.0","0.0","0.1","34.7"
"Elijah Sarratt","BAL","11.1","165.8","1.0","0.0","0.0","0.0","0.1","33.5"
"Olamide Zaccheaus","ATL","14.3","142.3","0.6","0.0","0.0","0.0","0.2","32.0"
"Jordan Whittington","LAR","11.3","128.2","0.9","2.3","12.1","0.1","0.1","31.2"
"Kevin Coleman Jr.","MIA","12.8","161.0","0.4","0.0","0.0","0.0","0.1","31.1"
"Isaiah Bond","CLE","10.0","132.5","0.8","4.3","23.6","0.1","0.1","30.7"
"Konata Mumpfield","LAR","9.9","126.7","1.1","0.0","0.0","0.0","0.1","29.2"
"Roman Wilson","PIT","11.8","135.1","0.6","0.0","0.0","0.0","0.1","28.8"
"Skyler Bell","BUF","10.1","136.5","0.8","0.0","0.0","0.0","0.1","28.4"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.4"
"Isaiah Williams","NYJ","11.8","114.2","0.4","2.2","12.7","0.1","0.1","27.4"
"Odell Beckham Jr.","NYG","9.2","113.2","0.6","0.0","0.0","0.0","0.1","24.1"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","21.4"
